dptmt.0.001*codeinseecommune superficie(hectare) x y nombred'inscrits nombredevotants nombredebulletinexprimés nomsansblancavecunders
1.398 1475 7945 21143 781 529 496 SAVIGNEUX
1.4 959 8451 20945 145 127 121 SEILLONNAZ
1.401 946 8824 21458 894 477 453 SERGY
1.402 1670 8029 21700 475 339 329 SERMOYER
1.403 803 8423 20946 806 496 459 SERRIERES-DE-BRIORD
1.404 818 8405 21328 123 95 89 SERRIERES-SUR-AIN
1.405 1305 8186 21298 721 389 381 SERVAS
1.406 799 8100 21629 117 95 93 SERVIGNAT
1.407 240 8708 21125 594 408 392 SEYSSEL
1.408 1630 8376 21408 511 401 388 SIMANDRE-SUR-SURAN
1.409 2058 8608 21137 134 110 109 SONGIEU
1.41 1414 8458 21420 264 243 237 SONTHONNAX-LA-MONTAGNE
1.411 1319 8392 21020 187 163 159 SOUCLIN
1.412 1080 8028 21342 439 327 314 SULIGNAT
1.413 431 8683 21197 67 51 50 SURJOUX
1.414 1905 8575 21111 197 158 153 SUTRIEU
1.415 480 8630 21018 295 199 193 TALISSIEU
1.416 1312 8460 21072 741 454 428 TENAY
1.417 2625 8533 21044 293 223 219 THEZILLIEU
1.418 515 8087 20940 732 487 478 THIL
1.419 2893 8809 21439 2764 1759 1682 THOIRY
1.42 134 7903 21333 999 625 599 THOISSEY
1.421 1072 8372 21071 478 379 366 TORCIEU
1.422 1017 8301 21311 969 675 641 TOSSIAT
1.423 474 7932 21098 545 345 332 TOUSSIEUX
1.424 1293 8041 21007 1184 716 668 TRAMOYES
1.425 1475 8261 21277 215 160 158 LA_TRANCLIERE
1.426 3941 8336 21458 1467 1044 1021 TREFFORT-CUISIAT
1.427 571 7891 21075 4057 2565 2449 TREVOUX
1.428 436 7959 21267 61 50 50 VALEINS
1.429 940 8116 21390 402 294 274 VANDEINS
1.43 799 8306 21199 386 271 257 VARAMBON
1.431 822 8340 21076 767 546 528 VAUX-EN-BUGEY
1.432 511 8320 21540 210 180 178 VERJON
1.433 1020 8129 21683 127 89 83 VERNOUX
1.434 1877 8144 21127 242 189 180 VERSAILLEUX
1.435 589 8896 21516 1148 594 574 VERSONNEX
1.436 1070 8888 21567 378 215 202 VESANCY
1.437 1248 8064 21674 146 97 95 VESCOURS
1.439 388 7947 21541 79 52 52 VESINES
1.441 2373 8469 21251 467 359 347 VIEU-D'IZENAVE
1.442 654 8595 21053 313 228 224 VIEU
1.443 2465 8086 21149 2974 1963 1882 VILLARS-LES-DOMBES
1.444 1446 8406 20989 810 598 569 VILLEBOIS
1.445 1386 8297 21539 425 306 296 VILLEMOTIER
1.446 2679 7936 21165 953 580 546 VILLENEUVE
1.447 1745 8363 21370 761 591 566 VILLEREVERSURE
1.448 921 8666 21268 257 204 203 VILLES
1.449 1938 8271 21140 457 373 357 VILLETTE-SUR-AIN
1.45 1591 8238 21064 2233 1398 1329 VILLIEU-LOYES-MOLLON
1.451 4503 8220 21433 4123 2988 2920 VIRIAT
1.452 1255 8574 20997 663 506 483 VIRIEU-LE-GRAND
1.453 1636 8628 21066 230 196 190 VIRIEU-LE-PETIT
1.454 788 8628 20853 470 329 309 VIRIGNIN
1.456 205 8632 20962 71 61 60 VONGNES
1.457 1781 8047 21389 1871 1225 1183 VONNAS
2.001 596 6610 25113 368 267 262 ABBECOURT
2.002 690 6761 25222 395 329 320 ACHERY
2.003 1167 6783 24836 760 475 448 ACY
2.004 1079 7167 25256 156 132 131 AGNICOURT-ET-SECHELLES
2.005 1057 7185 24911 265 189 186 AGUILCOURT
2.006 873 6852 25493 232 184 172 AISONVILLE-ET-BERNOVILLE
2.007 488 7070 25002 95 80 79 AIZELLES
2.008 1463 6857 24937 186 149 146 AIZY-JOUY
2.009 590 6749 25302 376 290 273 ALAINCOURT
2.01 513 6811 24966 111 97 92 ALLEMANT
2.011 1732 6616 24874 876 481 431 AMBLENY
2.012 450 6775 24807 64 59 58 AMBRIEF
2.013 2790 7147 24996 320 283 281 AMIFONTAINE
2.014 1308 6700 25130 509 370 359 AMIGNY-ROUY
2.015 385 6640 24692 70 64 64 ANCIENVILLE
2.016 291 6747 25167 139 115 108 ANDELAIN
2.017 914 6792 25219 211 174 164 ANGUILCOURT-LE-SART
2.018 949 6808 25015 1411 959 918 ANIZY-LE-CHATEAU
2.019 590 6607 25252 300 217 201 ANNOIS
2.02 1773 7356 25444 382 329 319 ANY-MARTIN-RIEUX
2.021 637 7286 25286 81 69 69 ARCHON
2.022 2643 6822 24734 307 234 224 ARCY-SAINTE-RESTITUE
2.023 681 6766 24655 84 66 66 ARMENTIERES-SUR-OURCQ
2.024 557 7028 25004 39 36 36 ARRANCY
2.025 631 6616 25302 277 186 178 ARTEMPS
2.026 1312 6892 24375 156 117 116 ARTONGES
2.027 804 6883 25219 211 177 161 ASSIS-SUR-SERRE
2.028 1544 6975 25093 1841 1332 1238 ATHIES-SOUS-LAON
2.029 1181 6599 25403 308 249 247 ATTILLY
2.03 211 6666 25596 218 190 183 AUBENCHEUL-AUX-BOIS
2.031 2370 7346 25394 509 440 425 AUBENTON
2.032 372 6563 25310 188 154 153 AUBIGNY-AUX-KAISNES
2.033 441 7055 25011 94 86 85 AUBIGNY-EN-LAONNOIS
2.034 566 6578 24982 72 54 53 AUDIGNICOURT
2.035 1073 6943 25423 182 165 163 AUDIGNY
2.036 260 6856 24829 67 53 51 AUGY
2.037 1001 6919 25136 995 754 722 AULNOIS-SOUS-LAON
2.038 599 7362 25313 73 63 63 LES_AUTELS
2.039 915 7047 25240 124 124 94 AUTREMENCOURT
2.04 678 7093 25463 138 117 117 AUTREPPES
2.041 355 6654 25101 645 370 353 AUTREVILLE
2.042 278 6754 24453 281 180 175 AZY-SUR-MARNE
2.043 221 6684 24960 45 36 34 BAGNEUX
2.044 332 7223 25351 30 25 25 BANCIGNY
2.046 1138 6951 25159 443 350 330 BARENTON-BUGNY
2.047 669 6952 25170 105 90 83 BARENTON-CEL
2.048 805 6971 25202 82 81 77 BARENTON-SUR-SERRE
